id,manual,semestre,unidad,unidad_titulo,tipo,paginas_ocupa,rol,pagina_pdf_estimada,pdf_destino,imagen_destino,imagen_existe,archivo_prompt,fuente_md,fuente_md_linea,descripcion
M1-sem1-11,1,1,sem1,Front/Back matter — Semestre 1,cuadro-comparativo,0.5,contenido del manual,255,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/sem1/M1-sem1-11.jpg,sí,assets/prompts-visuales/manual-1/sem-1/sem1/M1-sem1-11__cuadro-comparativo__contenido-del-manual__pp0p5.md,manuales/manual-1/semestre-1/92-glosario-semestre.md,54,Tabla amplia con dos columnas principales: 'Término en español' y 'Término en inglés equivalente' para los principales c
M1-sem1-12,1,1,sem1,Front/Back matter — Semestre 1,cuadro-comparativo,0.5,contenido del manual,257,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/sem1/M1-sem1-12.jpg,sí,assets/prompts-visuales/manual-1/sem-1/sem1/M1-sem1-12__cuadro-comparativo__contenido-del-manual__pp0p5.md,manuales/manual-1/semestre-1/93-bibliografia-semestre.md,48,"Cuadro comparativo de 5 columnas con los principales tipos de fuente: Libro, Web, OCW, Video, Artículo. Por cada fila: p"
M1-sem1-13,1,1,sem1,Front/Back matter — Semestre 1,ilustracion,0.5,contenido del manual,258,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/sem1/M1-sem1-13.jpg,sí,assets/prompts-visuales/manual-1/sem-1/sem1/M1-sem1-13__ilustracion__contenido-del-manual__pp0p5.md,manuales/manual-1/semestre-1/94-indice-analitico.md,36,"Pieza de cierre del semestre: bandera con el logo Albatros izándose en una colina baja, sol naciendo detrás (símbolo del"
M1-sem2-01,1,2,sem2,Front/Back matter — Semestre 2,ilustracion,1,contenido del manual,1,dist/manual-1-sem-2.pdf,assets/visuales/manual-1/sem2/M1-sem2-01.jpg,sí,assets/prompts-visuales/manual-1/sem-2/sem2/M1-sem2-01__ilustracion__contenido-del-manual__pp1.md,manuales/manual-1/semestre-2/00-portada.md,18,Ilustración hero de portada para el Semestre 2 del Manual 1: Química Albatros. Composición editorial vertical con el log
M1-sem2-02,1,2,sem2,Front/Back matter — Semestre 2,ilustracion,0.5,contenido del manual,1,dist/manual-1-sem-2.pdf,assets/visuales/manual-1/sem2/M1-sem2-02.jpg,sí,assets/prompts-visuales/manual-1/sem-2/sem2/M1-sem2-02__ilustracion__contenido-del-manual__pp0p5.md,manuales/manual-1/semestre-2/00-portada.md,26,"Pieza de créditos editoriales: logo Albatros centrado en azul Albatros sobre fondo blanco, debajo el texto 'Grupo Cultur"
M1-sem2-03,1,2,sem2,Front/Back matter — Semestre 2,ilustracion,0.5,contenido del manual,3,dist/manual-1-sem-2.pdf,assets/visuales/manual-1/sem2/M1-sem2-03.jpg,sí,assets/prompts-visuales/manual-1/sem-2/sem2/M1-sem2-03__ilustracion__contenido-del-manual__pp0p5.md,manuales/manual-1/semestre-2/01-carta-estudiante.md,39,"Ilustración cálida de un estudiante mexicano de bachillerato sentado en su escritorio con el manual abierto, lápiz en ma"
M1-sem2-04,1,2,sem2,Front/Back matter — Semestre 2,cuadro-comparativo,0.5,contenido del manual,5,dist/manual-1-sem-2.pdf,assets/visuales/manual-1/sem2/M1-sem2-04.jpg,sí,assets/prompts-visuales/manual-1/sem-2/sem2/M1-sem2-04__cuadro-comparativo__contenido-del-manual__pp0p5.md,manuales/manual-1/semestre-2/02-carta-docente.md,56,Cuadro comparativo de 3 columnas: 'Enfoque tradicional' vs 'Enfoque Albatros' vs 'Beneficio esperado'. Filas: rol del do
M1-sem2-05,1,2,sem2,Front/Back matter — Semestre 2,infografia,1,contenido del manual,6,dist/manual-1-sem-2.pdf,assets/visuales/manual-1/sem2/M1-sem2-05.jpg,sí,assets/prompts-visuales/manual-1/sem-2/sem2/M1-sem2-05__infografia__contenido-del-manual__pp1.md,manuales/manual-1/semestre-2/03-mapa-contenidos.md,16,"Infografía vertical tipo mapa visual del semestre 2 del manual Química Albatros: en la parte superior, el título del cas"
M1-sem2-06,1,2,sem2,Front/Back matter — Semestre 2,linea-tiempo,1,contenido del manual,8,dist/manual-1-sem-2.pdf,assets/visuales/manual-1/sem2/M1-sem2-06.jpg,sí,assets/prompts-visuales/manual-1/sem-2/sem2/M1-sem2-06__linea-tiempo__contenido-del-manual__pp1.md,manuales/manual-1/semestre-2/04-hilo-conductor.md,29,"Línea de tiempo horizontal del semestre 2: en el extremo izquierdo, el problema inicial del case study 'Agua escolar sal"
M1-sem2-07,1,2,sem2,Front/Back matter — Semestre 2,cuadro-comparativo,1,contenido del manual,10,dist/manual-1-sem-2.pdf,assets/visuales/manual-1/sem2/M1-sem2-07.jpg,sí,assets/prompts-visuales/manual-1/sem-2/sem2/M1-sem2-07__cuadro-comparativo__contenido-del-manual__pp1.md,manuales/manual-1/semestre-2/05-competencias.md,35,"Tabla extendida del índice de competencias del semestre con columnas: ID, descripción corta, verbo Bloom, % del manual d"
M1-sem2-08,1,2,sem2,Front/Back matter — Semestre 2,grafica,0.5,contenido del manual,13,dist/manual-1-sem-2.pdf,assets/visuales/manual-1/sem2/M1-sem2-08.jpg,sí,assets/prompts-visuales/manual-1/sem-2/sem2/M1-sem2-08__grafica__contenido-del-manual__pp0p5.md,manuales/manual-1/semestre-2/06-diagnostica.md,77,"Gráfica de radar de 5 ejes para autoevaluación inicial: 1) Familiaridad con el tema, 2) Confianza para practicar, 3) Acc"
M1-sem2-09,1,2,sem2,Front/Back matter — Semestre 2,ilustracion,1,contenido del manual,192,dist/manual-1-sem-2.pdf,assets/visuales/manual-1/sem2/M1-sem2-09.jpg,sí,assets/prompts-visuales/manual-1/sem-2/sem2/M1-sem2-09__ilustracion__contenido-del-manual__pp1.md,manuales/manual-1/semestre-2/90-cierre-semestre.md,57,Ilustración de cierre cálida: un estudiante revisando su portafolio terminado con varias hojas y evidencias del case stu
M1-sem2-10,1,2,sem2,Front/Back matter — Semestre 2,infografia,1,contenido del manual,196,dist/manual-1-sem-2.pdf,assets/visuales/manual-1/sem2/M1-sem2-10.jpg,sí,assets/prompts-visuales/manual-1/sem-2/sem2/M1-sem2-10__infografia__contenido-del-manual__pp1.md,manuales/manual-1/semestre-2/91-material-extra.md,91,"Infografía resumen del semestre completo en una sola hoja: panel superior con el case study, panel medio con las 3 unida"
M1-sem2-11,1,2,sem2,Front/Back matter — Semestre 2,cuadro-comparativo,0.5,contenido del manual,198,dist/manual-1-sem-2.pdf,assets/visuales/manual-1/sem2/M1-sem2-11.jpg,sí,assets/prompts-visuales/manual-1/sem-2/sem2/M1-sem2-11__cuadro-comparativo__contenido-del-manual__pp0p5.md,manuales/manual-1/semestre-2/92-glosario-semestre.md,54,Tabla amplia con dos columnas principales: 'Término en español' y 'Término en inglés equivalente' para los principales c
M1-sem2-12,1,2,sem2,Front/Back matter — Semestre 2,cuadro-comparativo,0.5,contenido del manual,200,dist/manual-1-sem-2.pdf,assets/visuales/manual-1/sem2/M1-sem2-12.jpg,sí,assets/prompts-visuales/manual-1/sem-2/sem2/M1-sem2-12__cuadro-comparativo__contenido-del-manual__pp0p5.md,manuales/manual-1/semestre-2/93-bibliografia-semestre.md,48,"Cuadro comparativo de 5 columnas con los principales tipos de fuente: Libro, Web, OCW, Video, Artículo. Por cada fila: p"
M1-sem2-13,1,2,sem2,Front/Back matter — Semestre 2,ilustracion,0.5,contenido del manual,201,dist/manual-1-sem-2.pdf,assets/visuales/manual-1/sem2/M1-sem2-13.jpg,sí,assets/prompts-visuales/manual-1/sem-2/sem2/M1-sem2-13__ilustracion__contenido-del-manual__pp0p5.md,manuales/manual-1/semestre-2/94-indice-analitico.md,36,"Pieza de cierre del semestre: bandera con el logo Albatros izándose en una colina baja, sol naciendo detrás (símbolo del"
M1-u00-01,1,1,u00,Lenguaje del Químico,ilustracion,1,portadilla,13,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u00/M1-u00-01.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u00/M1-u00-01__ilustracion__portadilla__pp1.md,manuales/manual-1/unidades/u00/00-portadilla.md,13,"Ilustración hero de portadilla: un químico moderno con bata sostiene un matraz aforado mientras a su lado, en silueta se"
M1-u00-02,1,1,u00,Lenguaje del Químico,mapa-mental,1,mapa mental de unidad,13,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u00/M1-u00-02.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u00/M1-u00-02__mapa-mental__mapa-mental-de-unidad__pp1.md,manuales/manual-1/unidades/u00/01-mapa-mental.md,9,Mapa mental con nodo central LENGUAJE DEL QUÍMICO en azul Albatros. Cuatro ramas primarias: 1) MÉTODO CIENTÍFICO con sub
M1-u00-03,1,1,u00,Lenguaje del Químico,diagrama-flujo,0.5,desarrollo de subtema,18,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u00/M1-u00-03.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u00/M1-u00-03__diagrama-flujo__desarrollo-de-subtema__pp0p5.md,manuales/manual-1/unidades/u00/10-tema-0-1.md,64,Diagrama de flujo del método científico aplicado al bebedero escolar. Cinco cajas conectadas por flechas: Observación (a
M1-u00-04,1,1,u00,Lenguaje del Químico,tabla-grande,1,desarrollo de subtema,22,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u00/M1-u00-04.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u00/M1-u00-04__tabla-grande__desarrollo-de-subtema__pp1.md,manuales/manual-1/unidades/u00/10-tema-0-2.md,95,"Tabla SI completa: las 7 unidades fundamentales en filas con columnas para símbolo, magnitud, ejemplo cotidiano, ejemplo"
M1-u00-05,1,1,u00,Lenguaje del Químico,cuadro-comparativo,0.5,desarrollo de subtema,26,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u00/M1-u00-05.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u00/M1-u00-05__cuadro-comparativo__desarrollo-de-subtema__pp0p5.md,manuales/manual-1/unidades/u00/10-tema-0-3.md,94,"Cuadro de instrumentos vs cifras significativas que reportan: tira de pH (1 cs), regla escolar 30 cm (3 cs), balanza de "
M1-u00-06,1,1,u00,Lenguaje del Químico,ilustracion,0.5,desarrollo de subtema,32,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u00/M1-u00-06.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u00/M1-u00-06__ilustracion__desarrollo-de-subtema__pp0p5.md,manuales/manual-1/unidades/u00/10-tema-0-4.md,91,Cuatro dianas tipo blanco de tiro en cuadrícula 2×2. Cuadrante A (preciso y exacto): seis dardos agrupados en el centro.
M1-u00-07,1,1,u00,Lenguaje del Químico,diagrama-flujo,0.5,taller práctico,59,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u00/M1-u00-07.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u00/M1-u00-07__diagrama-flujo__taller-pr-ctico__pp0p5.md,manuales/manual-1/unidades/u00/93-taller.md,37,"Diagrama de flujo en tres estaciones (A temperatura, B volumen, C masa) mostrando entrada del vaso, repeticiones, cálcul"
M1-u01-01,1,1,u01,Temas Básicos de la Materia,ilustracion,1,portadilla,68,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u01/M1-u01-01.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u01/M1-u01-01__ilustracion__portadilla__pp1.md,manuales/manual-1/unidades/u01/00-portadilla.md,13,Ilustración hero de portadilla: zoom progresivo de izquierda a derecha que va del bebedero del patio (mano sosteniendo u
M1-u01-02,1,1,u01,Temas Básicos de la Materia,mapa-mental,1,mapa mental de unidad,68,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u01/M1-u01-02.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u01/M1-u01-02__mapa-mental__mapa-mental-de-unidad__pp1.md,manuales/manual-1/unidades/u01/01-mapa-mental.md,9,Mapa mental con nodo central TEMAS BÁSICOS DE LA MATERIA en azul Albatros. Ocho ramas primarias correspondientes a los s
M1-u01-03,1,1,u01,Temas Básicos de la Materia,cuadro-comparativo,0.5,desarrollo de subtema,72,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u01/M1-u01-03.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u01/M1-u01-03__cuadro-comparativo__desarrollo-de-subtema__pp0p5.md,manuales/manual-1/unidades/u01/10-tema-1-1.md,66,"Cuadro comparativo de doble entrada que muestra ejemplos cotidianos clasificados como sustancia pura (elemento, compuest"
M1-u01-04,1,1,u01,Temas Básicos de la Materia,linea-tiempo,1,desarrollo de subtema,74,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u01/M1-u01-04.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u01/M1-u01-04__linea-tiempo__desarrollo-de-subtema__pp1.md,manuales/manual-1/unidades/u01/10-tema-1-2.md,43,"Línea de tiempo horizontal con los cinco modelos atómicos: Dalton 1803 (esfera maciza), Thomson 1897 (budín de pasas con"
M1-u01-05,1,1,u01,Temas Básicos de la Materia,ilustracion,0.5,desarrollo de subtema,76,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u01/M1-u01-05.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u01/M1-u01-05__ilustracion__desarrollo-de-subtema__pp0p5.md,manuales/manual-1/unidades/u01/10-tema-1-2.md,84,"Diagrama de tres átomos lado a lado mostrando los isótopos del hidrógeno: protio (1p, 0n), deuterio (1p, 1n) y tritio (1"
M1-u01-06,1,1,u01,Temas Básicos de la Materia,ilustracion,0.5,desarrollo de subtema,80,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u01/M1-u01-06.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u01/M1-u01-06__ilustracion__desarrollo-de-subtema__pp0p5.md,manuales/manual-1/unidades/u01/10-tema-1-3.md,59,Diagrama de Moeller (regla de las diagonales) que muestra el orden de llenado de orbitales con flechas diagonales descen
M1-u01-07,1,1,u01,Temas Básicos de la Materia,tabla-grande,1,desarrollo de subtema,84,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u01/M1-u01-07.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u01/M1-u01-07__tabla-grande__desarrollo-de-subtema__pp1.md,manuales/manual-1/unidades/u01/10-tema-1-4.md,86,"Tabla periódica completa de los 118 elementos, coloreada por bloques (s azul, p amarillo, d verde, f rosado) y con línea"
M1-u01-08,1,1,u01,Temas Básicos de la Materia,ilustracion,0.5,desarrollo de subtema,84,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u01/M1-u01-08.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u01/M1-u01-08__ilustracion__desarrollo-de-subtema__pp0p5.md,manuales/manual-1/unidades/u01/10-tema-1-4.md,121,"Galería de símbolos de Lewis para 10 elementos representativos: H, He, C, N, O, F, Na, Mg, Al, Cl. Cada símbolo del elem"
M1-u01-09,1,1,u01,Temas Básicos de la Materia,infografia,1,desarrollo de subtema,89,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u01/M1-u01-09.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u01/M1-u01-09__infografia__desarrollo-de-subtema__pp1.md,manuales/manual-1/unidades/u01/10-tema-1-5.md,122,Infografía con la tabla periódica simplificada y tres flechas curvas superpuestas que muestran las tendencias periódicas
M1-u01-10,1,1,u01,Temas Básicos de la Materia,ilustracion,1,desarrollo de subtema,92,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u01/M1-u01-10.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u01/M1-u01-10__ilustracion__desarrollo-de-subtema__pp1.md,manuales/manual-1/unidades/u01/10-tema-1-6.md,101,"Ilustración comparativa de los tres tipos de enlace mostrados lado a lado: iónico (red cúbica de Na⁺ y Cl⁻ alternados), "
M1-u01-11,1,1,u01,Temas Básicos de la Materia,cuadro-comparativo,0.5,desarrollo de subtema,93,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u01/M1-u01-11.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u01/M1-u01-11__cuadro-comparativo__desarrollo-de-subtema__pp0p5.md,manuales/manual-1/unidades/u01/10-tema-1-6.md,136,"Cuadro comparativo de las cuatro fuerzas intermoleculares: dispersión de London (presente en todas las moléculas, energí"
M1-u01-12,1,1,u01,Temas Básicos de la Materia,cuadro-comparativo,1,desarrollo de subtema,99,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u01/M1-u01-12.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u01/M1-u01-12__cuadro-comparativo__desarrollo-de-subtema__pp1.md,manuales/manual-1/unidades/u01/10-tema-1-7.md,168,"Cuadro comparativo de los tres sistemas de nomenclatura aplicados a 8 compuestos comunes (NaCl, CaO, Fe₂O₃, H₂SO₄, NaOH,"
M1-u01-13,1,1,u01,Temas Básicos de la Materia,infografia,0.5,desarrollo de subtema,103,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u01/M1-u01-13.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u01/M1-u01-13__infografia__desarrollo-de-subtema__pp0p5.md,manuales/manual-1/unidades/u01/10-tema-1-8.md,110,"Infografía del concepto de mol comparando escalas: a la izquierda, una cucharadita de sal con leyenda '5 g de NaCl ≈ 5 ×"
M1-u01-14,1,1,u01,Temas Básicos de la Materia,ilustracion,0.5,taller práctico,126,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u01/M1-u01-14.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u01/M1-u01-14__ilustracion__taller-pr-ctico__pp0p5.md,manuales/manual-1/unidades/u01/93-taller.md,35,Ilustración de un vaso del bebedero ampliado con una lupa que muestra moléculas de agua (H2O dibujadas como Mickey Mouse
M1-u02-01,1,1,u02,Agua,ilustracion,1,portadilla,134,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u02/M1-u02-01.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u02/M1-u02-01__ilustracion__portadilla__pp1.md,manuales/manual-1/unidades/u02/00-portadilla.md,13,"Ilustración hero: una molécula de agua estilizada (O central, dos H en ángulo de 104.5°) con sus dipolos marcados, rodea"
M1-u02-02,1,1,u02,Agua,mapa-mental,1,mapa mental de unidad,134,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u02/M1-u02-02.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u02/M1-u02-02__mapa-mental__mapa-mental-de-unidad__pp1.md,manuales/manual-1/unidades/u02/01-mapa-mental.md,9,"Mapa mental con nodo central AGUA en azul Albatros y siete ramas: 1) MOLÉCULA H2O (geometría angular, ángulo 104.5, enla"
M1-u02-03,1,1,u02,Agua,ilustracion,0.5,desarrollo de subtema,138,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u02/M1-u02-03.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u02/M1-u02-03__ilustracion__desarrollo-de-subtema__pp0p5.md,manuales/manual-1/unidades/u02/10-tema-2-1.md,61,"Modelo 3D estilo bola y palo de la molécula de H₂O: oxígeno rojo central con dos H blancos formando ángulo de 104.5°, do"
M1-u02-04,1,1,u02,Agua,ilustracion,0.5,desarrollo de subtema,140,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u02/M1-u02-04.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u02/M1-u02-04__ilustracion__desarrollo-de-subtema__pp0p5.md,manuales/manual-1/unidades/u02/10-tema-2-2.md,57,Diagrama tridimensional de una red de puentes de hidrógeno entre 6-8 moléculas de agua. Una molécula central con sus 4 p
M1-u02-05,1,1,u02,Agua,grafica,0.5,desarrollo de subtema,144,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u02/M1-u02-05.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u02/M1-u02-05__grafica__desarrollo-de-subtema__pp0p5.md,manuales/manual-1/unidades/u02/10-tema-2-3.md,57,Gráfica de densidad vs temperatura para el agua. Eje x de -10 a +30 °C; eje y de 0.91 a 1.01 g/mL. Línea continua azul m
M1-u02-06,1,1,u02,Agua,infografia,1,desarrollo de subtema,148,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u02/M1-u02-06.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u02/M1-u02-06__infografia__desarrollo-de-subtema__pp1.md,manuales/manual-1/unidades/u02/10-tema-2-4.md,88,Infografía vertical de la escala de pH de 0 a 14 con franja de colores (rojo intenso a violeta) y 12 ejemplos cotidianos
M1-u02-07,1,1,u02,Agua,cuadro-comparativo,1,desarrollo de subtema,152,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u02/M1-u02-07.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u02/M1-u02-07__cuadro-comparativo__desarrollo-de-subtema__pp1.md,manuales/manual-1/unidades/u02/10-tema-2-5.md,88,"Cuadro comparativo de doble entrada con 7 unidades de concentración (% m/m, % m/V, % V/V, ppm, M, m, N) en filas y 4 col"
M1-u02-08,1,1,u02,Agua,infografia,1,desarrollo de subtema,156,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u02/M1-u02-08.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u02/M1-u02-08__infografia__desarrollo-de-subtema__pp1.md,manuales/manual-1/unidades/u02/10-tema-2-6.md,86,"Infografía a tres columnas con los tres tipos de contaminación del agua: FÍSICOS (turbidez, sólidos, temperatura, color "
M1-u02-09,1,1,u02,Agua,diagrama-flujo,0.5,desarrollo de subtema,158,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u02/M1-u02-09.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u02/M1-u02-09__diagrama-flujo__desarrollo-de-subtema__pp0p5.md,manuales/manual-1/unidades/u02/10-tema-2-7.md,42,Diagrama de flujo horizontal de una planta de tratamiento de agua: 6 etapas conectadas por flechas con iconos representa
M1-u02-10,1,1,u02,Agua,cuadro-comparativo,0.5,taller práctico,185,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u02/M1-u02-10.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u02/M1-u02-10__cuadro-comparativo__taller-pr-ctico__pp0p5.md,manuales/manual-1/unidades/u02/93-taller.md,35,"Cuadro comparativo de las tres estaciones del taller (pH, dureza, cloro). Filas: instrumento, reactivos, técnica, fórmul"
M1-u03-01,1,1,u03,Aire,ilustracion,1,portadilla,192,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/u03/M1-u03-01.jpg,sí,assets/prompts-visuales/manual-1/sem-1/u03/M1-u03-01__ilustracion__portadilla__pp1.md,manuales/manual-1/unidades/u03/00-portadilla.md,13,Ilustración hero: corte transversal de un patio escolar al mediodía con flechas que muestran flujos de aire: oxígeno ent
